protein	state
SAFB	yes
SAFB2	no
PPP1R7	yes
SF3A1	no
TESK1	no
SF1	no
TRIP10	no
MED1	yes
HMGN3	no
JMJD1C	yes
PTPN14	no
ZNF174	no
NAB2	yes
HERC1	yes
NPY5R	yes
VAMP3	no
CCDC6	yes
PPP2R5E	no
DPYSL2	yes
OCLN	no
SRSF7	yes
SMN1	yes
DBN1	no
PTPN21	no
CPEB4	no
HNRNPUL2	yes
PDS5A	yes
KIAA0753	no
RFX7	no
QSER1	no
CLEC16A	no
KIAA1109	yes
FAM83E	no
AAK1	no
RALGAPA2	no
ZNF800	yes
CTU2	yes
UVSSA	no
EML3	no
TWISTNB	no
MAP7D1	yes
RGL3	yes
RABL6	no
GLYR1	no
LARP7	yes
TBC1D10B	yes
ARID4B	no
GRIPAP1	no
SYTL3	no
PDCD4	no
CEP55	yes
C17ORF85	yes
USP39	no
COBLL1	no
INO80D	yes
EAPP	yes
DCAF6	no
ODF2	no
FAM133B	yes
PPP6R3	no
WDR44	no
DOCK11	no
PRRC2B	no
TOR1AIP1	yes
DNTTIP2	yes
ATAT1	no
NUP188	no
CEP170	yes
NHSL1	no
ZNF362	yes
FNBP1L	yes
C6ORF132	no
FKBP15	no
ZC3H13	yes
TMEM63B	yes
GPATCH4	yes
UBR4	no
STXBP5	no
ARHGAP21	yes
ERCC6L2	no
ACBD5	no
DCAF8	no
ZCCHC11	yes
FRY	no
ZBTB37	yes
MAGI3	yes
SH3PXD2A	yes
AHDC1	no
ARFGEF3	no
VPS13D	yes
MEX3C	yes
STRIP1	no
CEP350	yes
CDC42BPA	no
PRPF38B	yes
RNF20	no
ZNF318	yes
ARHGEF16	no
DENND4C	yes
ZMYM4	yes
FBXW9	no
NSUN5P2	no
LARP1B	no
TBC1D9B	yes
MAP1S	yes
RAP1GAP2	no
INTS3	yes
KIAA1429	no
HEATR6	no
UHRF1BP1	no
OTUD7B	no
RALGAPA1	yes
GRAMD4	yes
SMEK1	no
PLEKHA7	no
NIPBL	yes
PRPF40B	no
ZCCHC8	no
MAST2	no
DHX57	no
LLGL2	no
MSANTD2	no
EDC4	yes
RPL22L1	yes
ALKBH5	no
PDXDC1	no
TMEM154	yes
CTR9	yes
ELMSAN1	no
LARP1	yes
BLOC1S3	yes
RICTOR	no
BRWD3	yes
ANKRD12	no
FIP1L1	yes
RANBP10	no
PACS1	yes
BCOR	no
MPRIP	no
RAB11FIP1	yes
DSTYK	no
GIGYF2	no
MACC1	no
NFXL1	yes
NBEAL2	no
SLCO4C1	no
SRCAP	yes
FAM83H	no
ARHGEF18	no
ANKRD13D	no
KIAA1211	yes
C11ORF57	no
USP34	no
RAPH1	no
KCTD1	no
CENPU	yes
MTSS1L	yes
NOL8	yes
ASXL2	no
CEP68	no
SUPT6H	no
DDX46	yes
TRMT10C	no
BZW1	no
MEPCE	yes
RSRC2	yes
SH3BP5L	yes
KDM3B	no
APTX	no
ZC3HAV1	yes
NRK	no
FAM122B	yes
SETX	no
ATG9A	yes
POGZ	no
NUFIP2	yes
CLASP1	yes
KIF21A	no
HDGFRP2	yes
EMSY	no
RAI1	yes
WAPAL	yes
IRF2BP2	yes
RBBP6	yes
HUWE1	yes
VPS13B	no
C11ORF96	no
GPR126	no
PATL1	no
TTC7B	no
LDB1	yes
PBRM1	yes
TLK2	yes
KTN1	no
SMG6	no
BCL9L	no
PHLDB1	yes
CADPS2	no
STK32C	yes
CASZ1	no
ZC3H18	yes
PACS2	no
LCA5	yes
GLCCI1	yes
FAM134C	yes
PARG	no
ZC3HC1	yes
OSTM1	no
GPBP1	no
CCDC25	no
PROSER2	yes
RALGAPB	yes
RALGPS2	yes
LSR	yes
CIR1	yes
MEX3D	no
DDX42	no
GATAD2A	no
GPSM1	yes
C2CD5	no
IRF2BP1	no
ERC1	no
MISP	yes
FAM219A	yes
WDR75	yes
TEX2	yes
ARHGAP12	yes
CHERP	yes
ANKHD1	yes
CCAR1	yes
SIRT2	no
PHC2	yes
GPALPP1	yes
RBM12B	yes
MB21D2	no
SRRM1	yes
REM2	no
PHACTR4	yes
DCP1B	yes
GPR116	yes
ABI1	yes
FAM177A1	no
CCAR2	yes
STK11IP	yes
ZNF687	yes
CMTR1	yes
ARHGAP24	yes
PROM2	yes
CLASRP	yes
AGGF1	no
DOS	no
STAG2	no
RYBP	yes
MARVELD2	no
OXR1	yes
ZGPAT	no
TAB3	no
NKAP	yes
TMEM57	no
MSL3	no
CPSF7	no
ARFGAP1	no
PAF1	yes
DDX51	yes
EIF1AD	yes
KRI1	yes
PRPF38A	yes
KDF1	no
SIDT2	no
TP53I13	no
ATAD1	yes
FAM134A	no
LEMD2	yes
RBBP8NL	no
ZNF784	no
ZBTB44	no
PPFIBP2	yes
LSM14A	yes
MAPK1IP1L	yes
CCDC168	yes
EHBP1	no
RBM15B	yes
PSD4	no
PHC3	no
CNNM3	yes
ABCF1	yes
SUPT20H	yes
PDZD8	no
PPHLN1	yes
KMT2C	no
BOD1L1	yes
FLCN	no
KDM2B	yes
RPLP0P6	no
NCOA7	no
INADL	no
VANGL1	yes
SNIP1	yes
SMARCC2	yes
FAM76A	no
PUM2	yes
KLHDC4	no
SHKBP1	yes
BAHD1	no
ZCRB1	yes
TMEM163	no
SPATA18	no
PI4K2B	no
STT3B	yes
BICD2	no
DDX54	no
CABLES1	yes
SSH3	yes
DTD1	yes
DENND1A	no
DOT1L	no
SNX29	no
SMCR8	yes
PARD3B	yes
PNISR	yes
PPP4R1	no
FNIP1	yes
SHROOM3	no
RNF139	yes
PHF10	no
CCDC12	yes
PPP1R13L	no
HDAC7	yes
CACTIN	yes
BCL7C	yes
LEO1	yes
SNRNP27	yes
STAG1	no
BTN2A2	yes
HNRNPLL	yes
PCNP	no
LMO7	yes
SLC44A1	yes
ATXN2L	no
PHIP	yes
PRPF31	no
PALLD	yes
CASKIN2	yes
SRSF12	yes
ATL1	no
GATAD2B	yes
AHCTF1	yes
DGCR8	no
RFFL	no
DDB2	no
SLC39A7	yes
GBF1	yes
LPIN2	no
PHF3	no
NDRG1	yes
TBC1D5	no
MYO18A	no
LARP4B	no
ANKS1A	no
KIAA0232	yes
ALG3	yes
ANP32B	no
PRCC	no
USP6NL	no
RREB1	no
HDAC2	yes
DPF2	no
PROX1	no
CREBBP	no
KAT6A	no
SYMPK	no
GOLGA1	no
EVPL	no
DDX17	yes
SEMA4D	no
OSTF1	no
UPF1	no
CDS1	yes
SMARCC1	no
KHSRP	yes
ARHGEF2	yes
KAT5	no
DVL3	yes
SECISBP2L	yes
PHKB	yes
TCEAL3	yes
CNKSR1	yes
UBE2E3	yes
KIAA1191	yes
FUBP1	no
SLC25A46	no
ACD	yes
PBXIP1	yes
TMEM45B	no
C18ORF25	yes
AKT1S1	yes
SGK3	yes
ATG2B	yes
RHBDF1	no
NMD3	no
REPS1	yes
ARHGEF26	no
FAM122A	yes
SPDL1	no
SIRT1	yes
CHFR	yes
DTNBP1	no
CCDC97	no
EDC3	yes
DUS3L	no
OTUD5	no
TOE1	no
SCARF2	no
LIN37	yes
POM121	yes
DOCK6	yes
FUBP3	no
RBM17	no
RSRC1	no
COG3	no
EAF1	yes
CCDC132	yes
DCAF5	yes
CHAMP1	yes
PDLIM2	no
ZFYVE19	no
USP47	yes
DNAJC1	no
FAM84B	yes
ALPK3	yes
BMF	no
UBE2E2	yes
HEXIM2	yes
YTHDC1	yes
TTC14	yes
PWWP2A	yes
DOCK7	yes
CLIC6	yes
MIA2	no
DCBLD2	no
RBM14	yes
NEDD4L	yes
SMG1	no
ALS2	yes
DLC1	yes
SLC2A13	yes
PURB	yes
PHF12	yes
NACC1	no
CIC	yes
UIMC1	no
CAMKK2	yes
ERBB2IP	no
RPS6KC1	no
WRNIP1	no
SRPK1	yes
IWS1	yes
RSF1	yes
RBM15	yes
SPEN	yes
PNKP	yes
FAM129B	yes
RMDN3	no
SEC62	yes
CDC5L	no
PSMD1	yes
SORT1	yes
MPHOSPH8	no
NUP88	yes
PKP4	yes
TSC22D3	no
SCAF11	yes
TEAD3	no
EIF3C	no
RAD9A	no
ATXN2	yes
ARID3A	yes
PKP2	yes
HOPX	yes
DDX50	yes
FAM110A	no
BCL7B	yes
SENP7	no
CLSTN3	no
NAA38	no
BUD13	yes
LZTS2	no
SRSF8	yes
OVOL2	yes
GPATCH1	no
RIOK1	no
SLC35A5	no
WAC	yes
DIDO1	yes
PI4K2A	yes
MMTAG2	no
C11ORF84	yes
POLR3C	yes
DDX23	yes
WRAP53	no
FAM195A	yes
C9ORF16	no
MLPH	no
UTP14A	no
RIOK2	yes
SARG	yes
DDA1	no
HIRIP3	yes
SORBS1	no
OSBPL11	yes
TBC1D10A	no
SRRT	yes
KIAA1671	no
TMPRSS13	no
SETD2	yes
TBC1D2	no
PANK2	no
FRMD8	yes
PITPNM3	no
WHSC1L1	yes
GTPBP4	yes
OSBPL8	no
IRX2	no
PRKD2	yes
FAM129A	no
API5	yes
TRIM2	no
SETD5	no
UNK	yes
ZDHHC5	no
TNKS1BP1	yes
SEMA4C	no
UBE2O	no
TTYH3	no
WDR33	no
C20ORF27	yes
SENP6	yes
SLIRP	yes
MCOLN1	yes
WWTR1	yes
MFF	no
MTFR1L	no
XRN2	no
NSRP1	yes
RACGAP1	yes
IRF2BPL	yes
UNC93B1	no
NUCKS1	yes
EPC1	no
SLK	no
SLC38A1	yes
ADNP	yes
ZNF106	no
PNN	no
SNX25	no
TMX1	no
CDC42EP4	no
WNK1	yes
RNPEP	yes
EPB41L1	no
SENP3	yes
SMARCAD1	no
ESF1	yes
ZNF768	no
SUV39H2	yes
PCNXL3	yes
CCDC86	yes
REEP4	yes
EPS8L2	yes
WDR55	no
RANBP3	yes
SUDS3	no
SCAF1	yes
PLEKHG2	yes
KAT8	no
CAAP1	no
PLEKHF2	no
GORASP2	no
VIPAS39	no
USP42	yes
CERS4	no
MLXIP	no
RRAGC	yes
RC3H2	no
TNS1	no
EML4	no
NCOA5	yes
TANC2	no
CWC22	no
CHD8	no
PLXNA4	no
GPN1	no
EPB41L4A	no
JPH1	no
DMAP1	yes
FZD3	no
UBN1	no
IL1RAP	no
DCP1A	no
RIC8A	no
PPAN	no
GPRC5C	yes
TCF7L2	yes
RTN4	no
IFT46	no
INCENP	yes
PAK6	yes
UTP3	no
ACSS2	no
DDX21	yes
DUOX1	no
CTPS2	yes
CHRAC1	yes
ARHGAP35	no
TNFRSF19	no
BRWD1	no
BMP2K	yes
PDS5B	yes
SMC4	yes
RBM12	yes
ZBTB40	no
EXOC1	yes
TMEM184C	no
PARVA	yes
DNAJC17	no
POLR3E	yes
ARGLU1	no
SLTM	yes
CUEDC1	no
GPATCH2L	no
ZNF446	yes
CWC25	yes
THUMPD1	yes
CDKN2AIP	yes
NSMCE4A	no
AATF	yes
FAM53C	no
BCLAF1	yes
PSD3	yes
CELSR1	no
CDK12	yes
C9ORF78	yes
SPG21	no
IGF2BP1	yes
EIF2AK3	yes
ITSN2	no
HACD3	no
RAI14	yes
FOXJ2	yes
VAPA	no
GMIP	yes
CAMSAP3	no
PHRF1	yes
KIAA1522	yes
CCDC88C	no
STIM2	yes
RCC2	yes
KIAA1468	yes
DIP2B	yes
SLAIN2	yes
USP36	yes
STK26	yes
TMEM181	no
RRBP1	yes
CPSF2	yes
RCOR3	yes
MYEF2	no
CGN	yes
KANSL3	yes
RERE	yes
MBD2	no
EPS15L1	yes
PI4KB	no
XPR1	no
TJP2	yes
DAXX	no
ADD3	yes
LRWD1	no
TCF20	yes
ARMCX3	no
SUN2	yes
LIMA1	yes
AFF4	yes
9-Sep	yes
DDX20	yes
SFMBT1	yes
BAIAP2L1	no
SLC12A6	no
NRBP1	no
VPS51	yes
BAZ2A	no
BAZ1B	yes
MBD1	no
NAGK	no
RASAL2	no
DDX41	yes
CDC23	no
CCNL1	no
FAM208A	no
TNIK	yes
CDC42EP3	yes
GPATCH8	yes
NUDT5	yes
RALY	yes
GTF3C4	no
PACSIN3	no
ACIN1	yes
ZHX1	yes
MTUS1	no
BRPF3	no
ZNF608	no
WWC3	no
KIDINS220	no
ASAP1	yes
ATAD2B	no
ZBTB21	yes
PPP1R9A	yes
PLEKHG1	yes
PRR12	yes
HECTD1	yes
ZMYND8	yes
AKAP8L	yes
KMT2B	no
STUB1	no
MAGED2	yes
MACF1	no
CEP131	no
PHF8	no
LIMCH1	yes
SETD1B	no
ZC3H4	yes
USP24	yes
SAMD4A	no
HPS5	yes
ICK	no
SRRM2	yes
PA2G4	yes
CDK11A	no
SMC3	yes
TRPC6	yes
HIGD1A	yes
CFL2	no
AKAP2	no
SLC9A8	no
DLGAP4	no
FNDC3A	no
WDR37	no
TBC1D30	no
EPB41L3	yes
AMOTL2	no
ZBTB1	no
USP20	no
KDM2A	yes
MAP3K2	no
LEMD3	no
CARHSP1	yes
THRAP3	yes
NOP58	yes
GIT1	yes
SNX24	yes
STARD10	no
LUC7L2	yes
RRP15	yes
MRPS16	no
SH3BP1	yes
RABGAP1	yes
NOC2L	yes
CCDC9	no
SAMHD1	yes
PKP3	yes
JRKL	no
FAM21C	yes
FARP1	yes
CEP170B	yes
IRS2	yes
MAP4K5	yes
KLF12	yes
PRRC2C	no
LRP12	no
PAXBP1	no
UTP18	yes
CD2AP	yes
TSSC4	no
PUS1	no
NCOR2	no
F11R	no
GPR56	no
ARFGEF2	yes
DYNC1LI1	no
EPN1	no
IGF2BP2	no
SLC4A7	yes
SLC4A4	yes
MAP3K4	no
CCDC61	no
FAM169A	yes
MORC2	yes
IVNS1ABP	yes
